,prompt,completion,actual_completion
336,"PROPERTY INFO ID: 253365787 Rent: $4063 / Month Beds: 2 Bath: 2 Pet: Pet Friendly Parking:: no parking Check out the Virtual Link of actual unit! <URL> Brand new, ultra modern building in River North, and steps from Old Town/Gold Coast. Eco friendly, Leed Gold Certified building with upscale amenities! Call, text/email me with the following info, and I'll be happy to help, thanks! When is your move date? (is it flexible, if so how far in either direction)? Any pets (weight and breed)? Need parking? Budget (just rent)? What is your preferred neighborhood(s)? Have you toured any properties yet? (so that I don't double up on my research) When are you available for a showing? Rising 17 stories in the heart of River North, this newly constructed LEED Gold certified apartment building is a stand-out addition to this popular neighborhood. It is surrounded by diverse bars and restaurants, tons of shops, a wide variety of businesses, three prestigious universities, and is within walking distance of Lake Michigan and the Chicago River. Each unit has modern kitchen and bath fixtures, stainless steel appliances, quartz countertops, wood-style flooring, porcelain tile bathroom flooring, and full-size stackable washers & dryers. Select apartments have upgraded features including built-in wine racks, tall ceilings with exposed concrete, walk-in closets and private terraces. Community amenities are designed around convenience and comfort for busy city living. Helping you tackle your to-do list are two 24/7 fitness zones, a Zen lounge with coffee and juice bar, DIY crafting studio, and a two-story work-from-home center with private offices and conference rooms. A public transit tracker, Amazon package lockers, and a two-story bicycle storage and repair shop are convenient on-site services. When it’s time to entertain and relax, residents can enjoy the 17th floor rooftop outdoor deck with trellis-covered lounging areas, firepit, and pool. There’s also a 16th floor outdoor sun deck with kitchen, bar, grilling station and dining areas. This pet-friendly community caters to your fuzzy buddies too. The outdoor park, indoor doggie lounge, and washing station will help your pet stay active, socialized and healthy. Several public transit options are within a short walk including the CTA Brown Line station at Chicago/Franklin, Red Line station at Chicago/State, and the #66 Chicago Ave. cross-town bus. If you have a car, there is limited parking available for additional fees and electric car charging stations on-site. FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-Weight Limit Fitness Center Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Electric Stove-Gas Garo Tokat 1-847-239-0728 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 4001-4500, 4001-
215,"PROPERTY INFO ID: 233354649 Rent: $3,200 / Month Beds: 2 Bath: 2 Available Date: 08/01/2022 Pet: Negotiable Parking:: attached garage 950 West Monroe, #811 The Residences at 950 West Monroe Condominium Association is a diverse, pet-friendly 101 unit community in Chicago’s growing West Loop neighborhood. * Built in 2004/5 this community is two short blocks from the Kennedy Expressway and the restaurants of Chicago’s “Greek town.” * Amenities include a fitness center, computer/conference room, bicycle storage, storage lockers, on-site management, deeded indoor parking, and a convenience store with resident-only access off of the main lobby. * Each home has a balcony or terrace and an in-unit washer/dryer. * Doing their part to protect the environment and taking a nod from the Department of the Environment and Chicago’s Green Roof Project, the Association has a “green roof” (a veneer of landscaping over the main roof) which reduces city pollution, improves air quality, and lowers city air temperatures. Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing The Apartment Source Call or text: 773.404.9900 -=>", 3001-3500, 3001-
323,"PROPERTY INFO ID: 301169790 Rent: $2,795 / Month Beds: 2 Bath: 1 Available Date: 07/15/2022 Pet: Pet Friendly Rent Includes:: Water Parking:: off-street parking One of a kind lofted unit located in a newly rehabbed historic bank building. * Apartment features include kitchen with stainless steel GE appliance package including dishwasher and microwave, quartz counters, and custom cabinetry. * Immaculate hardwood floors flow throughout the living space and bedrooms and are accented with exposed brick walls and high lofted ceilings. * Unit also features central air and stackable laundry in-unit. *Vaulted Ceilings *Modern *Remote controlled skylights *Unit only has skylights. No windows on the walls Bedroom 1: 13' 10"" x 10 5"" Bedroom 2: 11' 6"" x 10' FEATURES Central Air Central Heat Dishwasher Dogs Ok Gut Rehab Microwave Modern Modern Bathroom Modern Kitchen New Appliances Parking Available Quartz Countertops Skylights Stainless Steel Appliances Storage Unit Looking for something else? Check out all my other available apartments here and let me know which of them you'd like to tour! https://ygl.is/Hadi Hadi Sharabi Realtor® MLS ID: 887241 ▪︎ The Apartment Source (773) 272-1860 Hadis@ <URL> 2533 W. Fullerton Ave. Chicago, IL 60647 <URL>/ The Apartment Source Call or text: 773.272.1860 -=>", 2501-3000, 2501-
2638,"1/1 + den & patio in Bucktown near Damen & Armitage avail. 2/1. 5 min walk to 606 and plenty of bars/restaurants/shops within walking distance. Walk thru video available and glad to do virtual/in person tour as well. Send email for contact number. -1st floor -Big east facing windows let in plenty of sunlight -Central AC & heat (gas) -Water incl. -Laundry in bldg -Easy street parking -1 yr lease -$350 move in fee, no deposit -Small pets OK with landlord approval -=>", 1001-1500, 1501-
2437,"4038.5 N. Ashland Wrigleyville Unique studio in the heart of Wrigleyville features brand new kitchen with espresso cabinets, stainless steel appliances, dishwasher, microwave, separate dining area, spacious living area, great closet space, bright and sunny windows, brand new bathroom, laundry room in building, and pets are welcome! Steps to shopping, nightlife, transportation, and more! UA1701 Please Call Hayley Frazier at 847/322-1838‬ to schedule an appointment to view this apartment and mention Apartment ID: 21434. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
3395,14TH & KILDARE 2 BEDROOM APARTMENT EVERYTHING BRAND NEW SECTION 8 WELCOME HARDWOOD FLOORS APPLIANCES NO SECURITY DEPOSIT MOVE IN FEE $350 CHARLES 773=997-8680 -=>, 501-1000, 501-1000
3815,"Bright, Classic Lincoln Park 1-bed...separate kitchen, wood floors, lots of closet space! Includes: Heat Gas Water Trash Amenities: Fitness Room Bike Storage (inside and out) Laundry Rooftop Deck Internet Access Located on a beautiful tree lined street. Two blocks from all the action on Clark Street and a short walk to the Fullerton Train Station, the 36 and 22 bus lines and DePaul's Lincoln Park Campus. This much desired apartment will lease quickly, come take a look before it's gone!! Please contact me today to schedule a showing: Steve Chase Leasing Consultant 224-500-4596 Prices subject to change Pictures are for marketing purposes only and may not reflect actual unit -=>", 1501-2000, 1001-
1879,"Newly remodeled 3 bedrooms, new sink-toilet in bathroom,new carpet in all 3 bedrooms all appliances close to I-290 -down town chicago At First floor No Pets Available Immediately --Section -8 welcome - utilities included Call 630-660-2441  IF busy - leave message or text  $1,800.00 per month -=>", 1501-2000, 1501-
2043,"1347 N. Dearborn Gold Coast Charming studio on the Gold Coast! Unit features cooking gas included, newer eat in kitchen with dishwasher, spacious living area, great closet space, gorgeous hardwood floors throughout, newer bathroom, laundry room in building, and pets are welcome. Steps to nightlife, transportation, and more! UA1701 Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 21604. Urban Abodes 215/499-1336‬ <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
3766,"PROPERTY INFO ID: 303292486 Rent: $5,000 / Month Beds: 3 Bath: 2.5 Available Date: 07/01/2022 Pet: Negotiable Parking:Included, Garage, 2 Spaces Beautiful 3 Bedroom 2.5 Bathroom SINGLE FAMILY HOME in the West Loop. Truly one-of-a kind opportunity to enjoy everything the West Loop has to offer while maintaining privacy from the comfort of your own home on a quiet tree lined street. This Home Features: * Two levels of newly renovated living space * Massive open concept kitchen, living, and dining space with half bathroom on the main level * Living room features Gas Fireplace and Surround Sound Built-In Speakers * Custom Kitchen with Stainless Steel Appliances, Granite Countertops, and Kitchen Island * Bedrooms and two full bathrooms reside upstairs * King Sized primary bedroom with Walk in Closet, Private Deck, En-Suite Bathroom with Double Vanity Sinks and Soaking Tub * Two Queen Sized Bedrooms * In Unit Laundry * Central Air * Beautiful Hardwood Floors Throughout * Ample Storage in Unfinished Basement and Attic * Enclosed Backyard * Private Garage with Two Spaces Included FEATURES Central Air Central Heat Garage Parking Available Gut Rehab Hardwood Floors Modern Bathroom The Apartment Source Call or text: 773.404.9900 -=>", 5001-5500, 5001-
459,"RAVENSWOOD – 5076 N Wolcott, 1st floor - Wolcott and Winona - corner condo unit, 2BR/1BA located on a tree-lined residential street - Spacious! Features modern eat-in kitchen with stainless steel appliances (refrigerator, stove, dishwasher, microwave), queen-sized bedrooms, walk-in closet, hardwood floors throughout, deck, coin-operated laundry onsite, heat, fitness room, and storage locker included, and near plenty of greenspace, public transportation (Brown line, Foster, Lawrence, Montrose, Ashland bus routes), plus several restaurants, shops, and cafes! The accuracy of all information, regardless of source, including but not limited to square footage and lot sizes, is deemed reliable but not guaranteed and should be personally verified through personal inspection by an/or with the appropriate professionals. Video showing by link located here! <URL> Kitchen: 17 x 11 Living room: 17 x 11 Bedroom: 12 x 17 Bedroom: 11 x 13 Bathroom: 12 x 5 Foyer: 5 x 12 STRONG applications needed for consideration including great credit!!! $65 credit/background check per person 18+, $350 non-refundable move-in fee per person (no security deposit), $250 refundable HOA move-in fee, and first month‘s rent due at lease signing. No 3rd party applications accepted. No pets. Tenants pay electricity and cooking gas. Renter insurance needed. 2 years of rental history needed. Available August 1st – requires 24 hour notice to show. Call Lori at 773-697-4474. Lori Dake, an IL Licensed Broker <URL> 773-697-4474 Kale Realty 2447 N Ashland Ave, Chicago, IL 60614 <URL> 312-939-5253 -=>", 1501-2000, 1001-
3958,"3254 N. Clifton Lakeview Incredible one bedroom, one bathroom in Lakeview features rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, spacious living area, large bedroom, great closet space, hardwood floors, central heat and air, rehabbed bathroom, in unit laundry, parking available, and pets welcome! UA1701 Please Call Gabriela Cubero at 312/927-0788 to schedule an appointment to view this apartment and mention Apartment ID: 30955. Urban Abodes 312/927-0788 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
